,Esta es una base de datos que describe las operaciones inmobiliarias de una empresa,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
810,810,2004-10-15 00:00:00,Industrial,Venta,Barcelona,51,334305,2005-09-25 00:00:00,Carmen
811,811,2004-10-16 00:00:00,Industrial,Venta,Lleida,214,1805518,2005-08-30 00:00:00,Carmen
812,812,2004-10-16 00:00:00,Oficina,Venta,Tarragona,236,2208252,2005-04-21 00:00:00,Pedro
813,813,2004-10-17 00:00:00,Casa,Venta,Girona,138,733470,2005-04-04 00:00:00,Pedro
814,814,2004-10-17 00:00:00,Oficina,Alquiler,Barcelona,192,1627200,2005-01-27 00:00:00,Luisa
815,815,2004-10-17 00:00:00,Industrial,Venta,Tarragona,182,1690416,2005-09-04 00:00:00,Pedro
816,816,2004-10-18 00:00:00,Parking,Alquiler,Barcelona,232,2180104,2005-07-19 00:00:00,Joaquín
817,817,2004-10-18 00:00:00,Suelo,Alquiler,Barcelona,158,878638,2005-05-05 00:00:00,Joaquín
818,818,2004-10-18 00:00:00,Suelo,Alquiler,Tarragona,49,244608,2005-04-21 00:00:00,Pedro
819,819,2004-10-19 00:00:00,Parking,Venta,Barcelona,102,562632,2005-09-01 00:00:00,Luisa
820,820,2004-10-19 00:00:00,Piso,Alquiler,Tarragona,206,1688170,2005-07-17 00:00:00,Jesús
821,821,2004-10-19 00:00:00,Parking,Venta,Girona,161,1392006,2005-07-12 00:00:00,María
822,822,2004-10-20 00:00:00,Industrial,Venta,Tarragona,259,1628333,2005-08-09 00:00:00,María
823,823,2004-10-20 00:00:00,Parking,Venta,Lleida,177,992793,2005-03-20 00:00:00,Carmen
824,824,2004-10-21 00:00:00,Piso,Alquiler,Girona,60,484560,2005-08-24 00:00:00,Jesús
825,825,2004-10-21 00:00:00,Local,Venta,Tarragona,172,866880,2005-09-01 00:00:00,Luisa
826,826,2004-10-21 00:00:00,Oficina,Alquiler,Girona,239,1709567,2005-06-10 00:00:00,Jesús
827,827,2004-10-22 00:00:00,Industrial,Venta,Tarragona,149,1391809,2005-08-06 00:00:00,Pedro
828,828,2004-10-23 00:00:00,Industrial,Alquiler,Barcelona,199,1278774,2005-04-06 00:00:00,Pedro
829,829,2004-10-23 00:00:00,Local,Venta,Lleida,152,1218888,2005-03-04 00:00:00,Joaquín
830,830,2004-10-24 00:00:00,Local,Venta,Lleida,143,1409551,2005-04-23 00:00:00,Jesús
831,831,2004-10-24 00:00:00,Parking,Venta,Girona,115,880900,2005-07-04 00:00:00,Carmen
832,832,2004-10-24 00:00:00,Casa,Alquiler,Tarragona,87,574200,2005-05-19 00:00:00,Carmen
833,833,2004-10-24 00:00:00,Oficina,Alquiler,Lleida,212,1968632,2005-10-23 00:00:00,Pedro
834,834,2004-10-24 00:00:00,Casa,Venta,Barcelona,73,592103,2005-03-21 00:00:00,Jesús
835,835,2004-10-25 00:00:00,Parking,Venta,Lleida,168,1276800,2005-07-25 00:00:00,Carmen
836,836,2004-10-25 00:00:00,Suelo,Venta,Tarragona,274,2124596,2005-02-21 00:00:00,Carmen
837,837,2004-10-27 00:00:00,Local,Venta,Girona,127,1021334,2005-05-21 00:00:00,Joaquín
838,838,2004-10-27 00:00:00,Piso,Alquiler,Girona,62,583110,2005-02-19 00:00:00,Joaquín
839,839,2004-10-27 00:00:00,Local,Venta,Lleida,109,1029178,2005-07-13 00:00:00,Joaquín
840,840,2004-10-27 00:00:00,Parking,Alquiler,Girona,114,1040478,2005-04-29 00:00:00,Carmen
841,841,2004-10-27 00:00:00,Piso,Venta,Girona,120,1061160,2005-04-13 00:00:00,Luisa
842,842,2004-10-29 00:00:00,Suelo,Venta,Barcelona,109,942196,2005-08-31 00:00:00,Joaquín
843,843,2004-10-30 00:00:00,Casa,Venta,Barcelona,175,1712725,2005-03-12 00:00:00,Carmen
844,844,2004-10-30 00:00:00,Local,Alquiler,Tarragona,121,593021,2005-02-28 00:00:00,Luisa
845,845,2004-10-31 00:00:00,Industrial,Venta,Tarragona,280,1485680,2005-10-23 00:00:00,Luisa
846,846,2004-10-31 00:00:00,Suelo,Alquiler,Tarragona,246,2214984,2005-09-22 00:00:00,Joaquín
847,847,2004-10-31 00:00:00,Piso,Alquiler,Girona,121,731929,2005-06-27 00:00:00,Pedro
848,848,2004-10-31 00:00:00,Oficina,Alquiler,Tarragona,223,1566129,2005-04-06 00:00:00,Jesús
849,849,2004-11-01 00:00:00,Casa,Venta,Tarragona,120,1003320,2005-07-18 00:00:00,Carmen
850,850,2004-11-01 00:00:00,Piso,Alquiler,Girona,159,1391091,2005-06-16 00:00:00,Carmen
851,851,2004-11-01 00:00:00,Casa,Alquiler,Girona,157,1032118,2005-06-16 00:00:00,Luisa
852,852,2004-11-02 00:00:00,Casa,Alquiler,Girona,237,1768020,2005-04-27 00:00:00,Luisa
853,853,2004-11-02 00:00:00,Piso,Venta,Tarragona,246,1708716,2005-03-16 00:00:00,Jesús
854,854,2004-11-02 00:00:00,Piso,Alquiler,Lleida,299,2430272,2005-03-26 00:00:00,Carmen
855,855,2004-11-03 00:00:00,Suelo,Venta,Girona,223,1650200,2005-08-28 00:00:00,Carmen
856,856,2004-11-03 00:00:00,Industrial,Venta,Barcelona,247,995657,2005-06-29 00:00:00,Jesús
857,857,2004-11-03 00:00:00,Industrial,Venta,Girona,238,2379048,2005-09-08 00:00:00,María
858,858,2004-11-03 00:00:00,Oficina,Alquiler,Lleida,251,1821758,2005-06-11 00:00:00,Luisa
859,859,2004-11-03 00:00:00,Suelo,Venta,Barcelona,65,397540,2005-05-22 00:00:00,Joaquín
860,860,2004-11-03 00:00:00,Piso,Venta,Lleida,288,2242656,2005-02-11 00:00:00,Jesús
861,861,2004-11-03 00:00:00,Piso,Alquiler,Girona,96,891456,2005-07-28 00:00:00,Pedro
862,862,2004-11-04 00:00:00,Local,Alquiler,Barcelona,152,631560,2005-10-28 00:00:00,Joaquín
863,863,2004-11-06 00:00:00,Oficina,Alquiler,Barcelona,246,2328636,2005-03-10 00:00:00,Luisa
864,864,2004-11-06 00:00:00,Industrial,Venta,Girona,108,553608,2005-02-04 00:00:00,Luisa
865,865,2004-11-06 00:00:00,Parking,Alquiler,Girona,110,523160,2005-09-11 00:00:00,Joaquín
866,866,2004-11-07 00:00:00,Parking,Venta,Girona,136,1054544,2005-09-18 00:00:00,María
867,867,2004-11-07 00:00:00,Suelo,Venta,Tarragona,82,418692,2005-09-10 00:00:00,Luisa
868,868,2004-11-07 00:00:00,Suelo,Venta,Tarragona,127,912114,2005-09-20 00:00:00,Joaquín
869,869,2004-11-07 00:00:00,Parking,Alquiler,Lleida,183,1082079,2005-09-07 00:00:00,Carmen
870,870,2004-11-08 00:00:00,Industrial,Venta,Tarragona,245,1951180,2005-04-06 00:00:00,Luisa
871,871,2004-11-08 00:00:00,Casa,Alquiler,Tarragona,88,726352,2005-06-13 00:00:00,Joaquín
872,872,2004-11-09 00:00:00,Piso,Alquiler,Girona,185,1390460,2005-08-29 00:00:00,Jesús
873,873,2004-11-09 00:00:00,Industrial,Alquiler,Lleida,295,2923155,2005-05-06 00:00:00,Luisa
874,874,2004-11-09 00:00:00,Piso,Venta,Tarragona,80,458560,2005-02-22 00:00:00,Pedro
875,875,2004-11-09 00:00:00,Oficina,Alquiler,Girona,147,1259202,2005-05-03 00:00:00,Pedro
876,876,2004-11-09 00:00:00,Industrial,Venta,Tarragona,114,968658,2005-06-29 00:00:00,María
877,877,2004-11-09 00:00:00,Oficina,Alquiler,Lleida,128,549120,2005-03-16 00:00:00,Carmen
878,878,2004-11-10 00:00:00,Industrial,Alquiler,Barcelona,145,1372135,2005-04-18 00:00:00,Pedro
879,879,2004-11-10 00:00:00,Oficina,Venta,Lleida,147,1070307,2005-07-10 00:00:00,Pedro
880,880,2004-11-11 00:00:00,Parking,Alquiler,Lleida,272,1542784,2005-06-24 00:00:00,Joaquín
881,881,2004-11-11 00:00:00,Casa,Alquiler,Lleida,113,645569,2005-06-10 00:00:00,Carmen
882,882,2004-11-11 00:00:00,Local,Venta,Tarragona,220,970420,2005-08-28 00:00:00,Luisa
883,883,2004-11-11 00:00:00,Piso,Venta,Girona,266,1370964,2005-10-22 00:00:00,María
884,884,2004-11-11 00:00:00,Piso,Venta,Girona,125,590875,2005-09-20 00:00:00,Carmen
885,885,2004-11-11 00:00:00,Casa,Alquiler,Lleida,151,719213,2005-02-23 00:00:00,Jesús
886,886,2004-11-12 00:00:00,Piso,Venta,Girona,133,1191281,2005-06-28 00:00:00,Joaquín
887,887,2004-11-13 00:00:00,Suelo,Alquiler,Barcelona,160,1356160,2005-11-08 00:00:00,Luisa
888,888,2004-11-13 00:00:00,Oficina,Alquiler,Lleida,95,412395,2005-07-31 00:00:00,María
889,889,2004-11-13 00:00:00,Oficina,Alquiler,Lleida,236,1420012,2005-10-31 00:00:00,Pedro
890,890,2004-11-13 00:00:00,Oficina,Venta,Tarragona,165,1598520,2005-10-11 00:00:00,Pedro
891,891,2004-11-13 00:00:00,Casa,Venta,Girona,255,2543625,2005-08-29 00:00:00,Pedro
892,892,2004-11-14 00:00:00,Casa,Alquiler,Tarragona,226,2025638,2005-05-04 00:00:00,María
893,893,2004-11-14 00:00:00,Casa,Venta,Tarragona,228,1115604,2005-09-21 00:00:00,Pedro
894,894,2004-11-14 00:00:00,Parking,Alquiler,Lleida,92,610696,2005-05-04 00:00:00,Jesús
895,895,2004-11-14 00:00:00,Industrial,Alquiler,Barcelona,229,1341024,2005-09-12 00:00:00,Jesús
896,896,2004-11-14 00:00:00,Piso,Alquiler,Tarragona,226,1340632,2005-09-24 00:00:00,Luisa
897,897,2004-11-15 00:00:00,Suelo,Alquiler,Lleida,64,581568,2005-02-15 00:00:00,Carmen
898,898,2004-11-15 00:00:00,Casa,Venta,Barcelona,258,2449452,2005-03-14 00:00:00,Jesús
899,899,2004-11-16 00:00:00,Local,Venta,Barcelona,58,315810,2005-06-14 00:00:00,Jesús
900,900,2004-11-16 00:00:00,Casa,Alquiler,Barcelona,136,1072768,2005-04-02 00:00:00,Pedro
901,901,2004-11-16 00:00:00,Parking,Alquiler,Girona,294,1653456,2005-07-18 00:00:00,Pedro
902,902,2004-11-17 00:00:00,Oficina,Alquiler,Barcelona,294,2722146,2005-11-05 00:00:00,Joaquín
903,903,2004-11-17 00:00:00,Suelo,Alquiler,Tarragona,151,1029367,2005-05-05 00:00:00,Carmen
904,904,2004-11-17 00:00:00,Piso,Venta,Barcelona,62,455762,2005-07-25 00:00:00,Pedro
905,905,2004-11-18 00:00:00,Local,Alquiler,Girona,116,479892,2005-11-11 00:00:00,Joaquín
906,906,2004-11-18 00:00:00,Industrial,Alquiler,Tarragona,68,500140,2005-10-27 00:00:00,Pedro
907,907,2004-11-18 00:00:00,Oficina,Alquiler,Barcelona,59,491706,2005-07-03 00:00:00,Jesús
908,908,2004-11-18 00:00:00,Parking,Venta,Girona,134,933444,2005-04-17 00:00:00,Pedro
909,909,2004-11-18 00:00:00,Industrial,Venta,Tarragona,127,1204595,2005-04-15 00:00:00,Carmen
910,910,2004-11-19 00:00:00,Piso,Alquiler,Tarragona,197,1506853,2005-11-16 00:00:00,Jesús
911,911,2004-11-20 00:00:00,Local,Alquiler,Barcelona,135,1036665,2005-11-08 00:00:00,Pedro
912,912,2004-11-20 00:00:00,Suelo,Alquiler,Lleida,200,1967400,2005-08-30 00:00:00,Pedro
913,913,2004-11-20 00:00:00,Suelo,Alquiler,Lleida,250,1676500,2005-08-30 00:00:00,Pedro
914,914,2004-11-20 00:00:00,Piso,Venta,Girona,48,366480,2005-09-19 00:00:00,Pedro
915,915,2004-11-20 00:00:00,Oficina,Venta,Girona,285,1869885,2005-08-10 00:00:00,Jesús
916,916,2004-11-21 00:00:00,Piso,Alquiler,Lleida,155,1511095,2005-08-20 00:00:00,María
917,917,2004-11-21 00:00:00,Parking,Venta,Tarragona,263,1719757,2005-08-28 00:00:00,Pedro
918,918,2004-11-22 00:00:00,Industrial,Alquiler,Lleida,197,1662089,2005-06-29 00:00:00,Carmen
919,919,2004-11-22 00:00:00,Casa,Alquiler,Lleida,270,1311660,2005-10-11 00:00:00,María
920,920,2004-11-23 00:00:00,Industrial,Venta,Barcelona,137,1242042,2005-08-08 00:00:00,Luisa
921,921,2004-11-24 00:00:00,Suelo,Venta,Tarragona,163,1273030,2005-06-16 00:00:00,Luisa
922,922,2004-11-24 00:00:00,Oficina,Venta,Lleida,217,1238202,2005-05-11 00:00:00,Joaquín
923,923,2004-11-24 00:00:00,Suelo,Venta,Tarragona,257,1440742,2005-07-09 00:00:00,Carmen
924,924,2004-11-25 00:00:00,Parking,Alquiler,Girona,283,2213909,2005-05-10 00:00:00,Luisa
925,925,2004-11-25 00:00:00,Parking,Alquiler,Lleida,298,2039512,2005-10-11 00:00:00,Joaquín
926,926,2004-11-25 00:00:00,Suelo,Alquiler,Barcelona,298,2376550,2005-10-19 00:00:00,Luisa
927,927,2004-11-25 00:00:00,Suelo,Alquiler,Barcelona,151,709700,2005-03-16 00:00:00,Carmen
928,928,2004-11-26 00:00:00,Industrial,Alquiler,Barcelona,283,1615647,2005-06-06 00:00:00,Joaquín
929,929,2004-11-27 00:00:00,Local,Alquiler,Tarragona,73,410260,2005-10-29 00:00:00,Carmen
930,930,2004-11-27 00:00:00,Local,Venta,Tarragona,161,1604687,2005-03-05 00:00:00,Luisa
931,931,2004-11-27 00:00:00,Suelo,Venta,Lleida,223,2053384,2005-11-13 00:00:00,Carmen
932,932,2004-11-29 00:00:00,Parking,Venta,Lleida,121,754435,2005-04-23 00:00:00,Joaquín
933,933,2004-11-29 00:00:00,Parking,Alquiler,Tarragona,150,795000,2005-10-17 00:00:00,Luisa
934,934,2004-11-29 00:00:00,Casa,Alquiler,Girona,228,2212740,2005-10-10 00:00:00,Jesús
935,935,2004-11-30 00:00:00,Oficina,Alquiler,Lleida,164,1373008,2005-06-09 00:00:00,Pedro
936,936,2004-12-01 00:00:00,Parking,Alquiler,Girona,116,573040,2005-11-01 00:00:00,María
937,937,2004-12-01 00:00:00,Industrial,Alquiler,Girona,276,1932552,2005-10-20 00:00:00,María
938,938,2004-12-01 00:00:00,Local,Venta,Barcelona,158,766774,2005-03-24 00:00:00,Pedro
939,939,2004-12-01 00:00:00,Industrial,Alquiler,Girona,216,1962360,2005-05-17 00:00:00,Pedro
940,940,2004-12-02 00:00:00,Industrial,Venta,Barcelona,249,1662822,2005-07-11 00:00:00,Luisa
941,941,2004-12-02 00:00:00,Industrial,Venta,Barcelona,68,614244,2005-05-11 00:00:00,Jesús
942,942,2004-12-02 00:00:00,Industrial,Alquiler,Tarragona,177,1485915,2005-04-29 00:00:00,Carmen
943,943,2004-12-03 00:00:00,Piso,Venta,Tarragona,268,1273000,2005-06-16 00:00:00,Carmen
944,944,2004-12-03 00:00:00,Piso,Alquiler,Girona,66,558030,2005-12-01 00:00:00,Carmen
945,945,2004-12-04 00:00:00,Piso,Venta,Tarragona,162,894888,2005-03-26 00:00:00,Pedro
946,946,2004-12-04 00:00:00,Piso,Venta,Girona,243,1447551,2005-09-13 00:00:00,Pedro
947,947,2004-12-04 00:00:00,Suelo,Venta,Lleida,103,474624,2005-03-25 00:00:00,Carmen
948,948,2004-12-05 00:00:00,Piso,Alquiler,Girona,237,1725597,2005-07-07 00:00:00,Pedro
949,949,2004-12-05 00:00:00,Parking,Alquiler,Barcelona,206,1241562,2005-07-27 00:00:00,María
950,950,2004-12-05 00:00:00,Piso,Venta,Girona,233,2153852,2005-03-11 00:00:00,Pedro
951,951,2004-12-06 00:00:00,Oficina,Venta,Barcelona,65,307255,2005-10-11 00:00:00,Carmen
952,952,2004-12-07 00:00:00,Industrial,Venta,Barcelona,142,954808,2005-06-18 00:00:00,María
953,953,2004-12-07 00:00:00,Casa,Alquiler,Girona,240,1510320,2005-10-19 00:00:00,Carmen
954,954,2004-12-08 00:00:00,Parking,Venta,Lleida,68,330956,2005-09-18 00:00:00,María
955,955,2004-12-09 00:00:00,Suelo,Venta,Girona,200,1938400,2005-08-25 00:00:00,María
956,956,2004-12-09 00:00:00,Piso,Venta,Tarragona,80,509840,2005-05-21 00:00:00,Carmen
957,957,2004-12-09 00:00:00,Casa,Alquiler,Tarragona,84,368760,2005-07-30 00:00:00,Luisa
958,958,2004-12-10 00:00:00,Local,Alquiler,Tarragona,227,1071667,2005-05-26 00:00:00,Carmen
959,959,2004-12-10 00:00:00,Parking,Venta,Tarragona,291,1872876,2005-05-16 00:00:00,María
960,960,2004-12-10 00:00:00,Suelo,Venta,Girona,275,1732500,2005-07-10 00:00:00,Joaquín
961,961,2004-12-10 00:00:00,Parking,Alquiler,Girona,96,535584,2005-10-22 00:00:00,Carmen
962,962,2004-12-10 00:00:00,Oficina,Alquiler,Barcelona,174,1271592,2005-07-13 00:00:00,Joaquín
963,963,2004-12-11 00:00:00,Local,Venta,Lleida,190,1593720,2005-05-28 00:00:00,Pedro
964,964,2004-12-11 00:00:00,Suelo,Venta,Girona,185,1038590,2005-07-15 00:00:00,Luisa
965,965,2004-12-11 00:00:00,Industrial,Venta,Girona,56,525616,2005-08-15 00:00:00,Joaquín
966,966,2004-12-11 00:00:00,Piso,Alquiler,Lleida,213,1994532,2005-04-22 00:00:00,María
967,967,2004-12-12 00:00:00,Piso,Venta,Girona,175,722925,2005-03-18 00:00:00,Carmen
968,968,2004-12-12 00:00:00,Local,Alquiler,Lleida,96,769824,2005-10-03 00:00:00,Jesús
969,969,2004-12-14 00:00:00,Piso,Venta,Lleida,272,2581552,2005-10-22 00:00:00,Pedro
970,970,2004-12-14 00:00:00,Piso,Alquiler,Girona,232,1193408,2005-06-07 00:00:00,Luisa
971,971,2004-12-14 00:00:00,Piso,Venta,Lleida,200,1145600,2005-09-22 00:00:00,María
972,972,2004-12-14 00:00:00,Piso,Venta,Girona,219,1059303,2005-07-27 00:00:00,Joaquín
973,973,2004-12-15 00:00:00,Casa,Alquiler,Lleida,126,600642,2005-08-20 00:00:00,Jesús
974,974,2004-12-15 00:00:00,Parking,Alquiler,Lleida,131,920144,2005-12-10 00:00:00,Jesús
975,975,2004-12-16 00:00:00,Suelo,Venta,Lleida,77,409563,2005-07-30 00:00:00,Pedro
976,976,2004-12-16 00:00:00,Local,Alquiler,Barcelona,232,1236560,2005-11-20 00:00:00,Pedro
977,977,2004-12-16 00:00:00,Suelo,Alquiler,Barcelona,199,1494490,2005-04-04 00:00:00,Joaquín
978,978,2004-12-17 00:00:00,Casa,Venta,Tarragona,115,659295,2005-10-09 00:00:00,María
979,979,2004-12-18 00:00:00,Casa,Alquiler,Barcelona,97,672792,2005-05-23 00:00:00,Joaquín
980,980,2004-12-18 00:00:00,Suelo,Venta,Barcelona,122,589016,2005-10-04 00:00:00,Joaquín
981,981,2004-12-18 00:00:00,Local,Venta,Girona,278,2273762,2005-11-30 00:00:00,Pedro
982,982,2004-12-19 00:00:00,Casa,Alquiler,Barcelona,212,1588940,2005-08-29 00:00:00,Carmen
983,983,2004-12-19 00:00:00,Oficina,Alquiler,Barcelona,250,1127750,2005-04-04 00:00:00,Luisa
984,984,2004-12-19 00:00:00,Suelo,Alquiler,Lleida,278,1678286,2005-04-20 00:00:00,Jesús
985,985,2004-12-20 00:00:00,Piso,Alquiler,Barcelona,270,2427300,2005-09-06 00:00:00,Pedro
986,986,2004-12-20 00:00:00,Suelo,Alquiler,Lleida,212,1753240,2005-05-14 00:00:00,Joaquín
987,987,2004-12-21 00:00:00,Industrial,Venta,Lleida,258,1894752,2005-08-21 00:00:00,Carmen
988,988,2004-12-21 00:00:00,Casa,Alquiler,Tarragona,225,2000475,2005-07-12 00:00:00,Jesús
989,989,2004-12-21 00:00:00,Piso,Venta,Lleida,81,528120,2005-07-09 00:00:00,Joaquín
990,990,2004-12-21 00:00:00,Industrial,Venta,Barcelona,182,1717898,2005-04-24 00:00:00,Pedro
991,991,2004-12-21 00:00:00,Oficina,Venta,Barcelona,233,1870757,2005-10-13 00:00:00,Luisa
992,992,2004-12-22 00:00:00,Piso,Alquiler,Girona,281,2326118,2005-07-22 00:00:00,María
993,993,2004-12-22 00:00:00,Industrial,Venta,Tarragona,201,1911510,2005-06-23 00:00:00,Luisa
994,994,2004-12-22 00:00:00,Local,Venta,Girona,187,1346961,2005-12-20 00:00:00,Joaquín
995,995,2004-12-22 00:00:00,Oficina,Venta,Tarragona,180,1414800,2005-05-29 00:00:00,Joaquín
996,996,2004-12-23 00:00:00,Parking,Alquiler,Girona,88,690184,2005-05-29 00:00:00,Carmen
997,997,2004-12-23 00:00:00,Industrial,Alquiler,Girona,66,448932,2005-09-01 00:00:00,Pedro
998,998,2004-12-23 00:00:00,Local,Venta,Girona,219,2101743,2005-07-30 00:00:00,Luisa
999,999,2004-12-23 00:00:00,Industrial,Venta,Girona,67,430743,2005-06-06 00:00:00,Pedro
1000,1000,2004-12-24 00:00:00,Parking,Venta,Lleida,300,2707200,2005-10-15 00:00:00,Luisa
1001,1001,2004-12-25 00:00:00,Local,Venta,Barcelona,250,1368750,2005-06-07 00:00:00,Luisa
1002,1002,2004-12-25 00:00:00,Piso,Alquiler,Barcelona,292,2677056,2005-07-22 00:00:00,María
1003,1003,2004-12-25 00:00:00,Parking,Venta,Tarragona,87,638058,2005-07-19 00:00:00,Jesús
1004,1004,2004-12-26 00:00:00,Piso,Venta,Lleida,95,866780,2005-04-15 00:00:00,Jesús
1005,1005,2004-12-26 00:00:00,Oficina,Alquiler,Girona,159,1437360,2005-06-12 00:00:00,Luisa
1006,1006,2004-12-26 00:00:00,Suelo,Venta,Lleida,215,1706240,2005-04-25 00:00:00,Pedro
1007,1007,2004-12-27 00:00:00,Oficina,Alquiler,Tarragona,86,822504,2005-08-17 00:00:00,Jesús
1008,1008,2004-12-27 00:00:00,Casa,Venta,Lleida,121,622787,2005-05-02 00:00:00,Carmen
1009,1009,2004-12-27 00:00:00,Piso,Alquiler,Tarragona,222,1266732,2005-06-23 00:00:00,Pedro
1010,1010,2004-12-27 00:00:00,Parking,Venta,Girona,211,945702,2005-12-04 00:00:00,Luisa
1011,1011,2004-12-27 00:00:00,Piso,Alquiler,Barcelona,96,862848,2005-12-23 00:00:00,María
1012,1012,2004-12-30 00:00:00,Oficina,Venta,Tarragona,173,1008071,2005-07-21 00:00:00,Jesús
1013,1013,2004-12-31 00:00:00,Oficina,Venta,Barcelona,191,1657880,2005-09-06 00:00:00,Pedro
1014,1014,2004-12-31 00:00:00,Casa,Venta,Barcelona,146,1457226,2005-11-05 00:00:00,María
1015,1015,2004-12-31 00:00:00,Local,Alquiler,Barcelona,168,1508472,2005-12-03 00:00:00,Luisa
1016,1016,2005-01-01 00:00:00,Parking,Alquiler,Barcelona,142,1276864,2005-10-24 00:00:00,María
1017,1017,2005-01-01 00:00:00,Parking,Venta,Girona,217,2101862,2005-10-23 00:00:00,Carmen
1018,1018,2005-01-01 00:00:00,Local,Alquiler,Barcelona,269,1360064,2005-08-17 00:00:00,Jesús
1019,1019,2005-01-02 00:00:00,Suelo,Venta,Lleida,47,369984,2005-08-24 00:00:00,Jesús
1020,1020,2005-01-02 00:00:00,Industrial,Alquiler,Lleida,201,1176855,2005-10-07 00:00:00,María
1021,1021,2005-01-02 00:00:00,Suelo,Alquiler,Girona,86,452962,2005-10-24 00:00:00,Joaquín
1022,1022,2005-01-03 00:00:00,Piso,Alquiler,Tarragona,237,1177653,2005-11-10 00:00:00,Joaquín
1023,1023,2005-01-03 00:00:00,Oficina,Venta,Girona,105,889980,2005-10-16 00:00:00,Pedro
1024,1024,2005-01-03 00:00:00,Piso,Alquiler,Barcelona,172,1615424,2005-11-19 00:00:00,Carmen
1025,1025,2005-01-04 00:00:00,Industrial,Alquiler,Tarragona,216,2022624,2005-05-07 00:00:00,Jesús
1026,1026,2005-01-04 00:00:00,Parking,Alquiler,Barcelona,206,1231262,2005-07-10 00:00:00,Luisa
1027,1027,2005-01-04 00:00:00,Casa,Alquiler,Girona,79,352972,2005-11-06 00:00:00,Joaquín
1028,1028,2005-01-05 00:00:00,Casa,Venta,Lleida,81,610416,2005-11-25 00:00:00,Joaquín
1029,1029,2005-01-05 00:00:00,Piso,Alquiler,Lleida,269,1089181,2005-07-25 00:00:00,Joaquín
1030,1030,2005-01-05 00:00:00,Piso,Alquiler,Tarragona,221,1194505,2005-12-12 00:00:00,María
1031,1031,2005-01-05 00:00:00,Industrial,Alquiler,Barcelona,143,1106677,2005-08-08 00:00:00,María
1032,1032,2005-01-06 00:00:00,Industrial,Alquiler,Barcelona,170,1262250,2005-11-29 00:00:00,Luisa
1033,1033,2005-01-06 00:00:00,Casa,Alquiler,Lleida,171,1236672,2005-06-07 00:00:00,Luisa
1034,1034,2005-01-06 00:00:00,Industrial,Alquiler,Girona,153,923355,2005-07-07 00:00:00,Luisa
1035,1035,2005-01-07 00:00:00,Industrial,Venta,Barcelona,252,2398788,2005-11-19 00:00:00,Jesús
1036,1036,2005-01-07 00:00:00,Local,Venta,Lleida,180,1636560,2005-08-31 00:00:00,Luisa
1037,1037,2005-01-08 00:00:00,Industrial,Venta,Lleida,271,2496723,2005-12-12 00:00:00,Jesús
1038,1038,2005-01-08 00:00:00,Piso,Alquiler,Girona,59,325326,2005-04-09 00:00:00,Carmen
1039,1039,2005-01-09 00:00:00,Casa,Alquiler,Lleida,264,1441440,2005-10-28 00:00:00,Pedro
1040,1040,2005-01-09 00:00:00,Local,Venta,Barcelona,162,1315440,2005-09-16 00:00:00,Jesús
1041,1041,2005-01-09 00:00:00,Local,Alquiler,Tarragona,286,1732302,2005-08-26 00:00:00,Joaquín
1042,1042,2005-01-10 00:00:00,Suelo,Venta,Tarragona,90,374310,2005-12-07 00:00:00,María
1043,1043,2005-01-11 00:00:00,Suelo,Alquiler,Tarragona,186,1844004,2005-06-19 00:00:00,Pedro
1044,1044,2005-01-11 00:00:00,Piso,Alquiler,Tarragona,217,1603196,2005-12-11 00:00:00,Joaquín
1045,1045,2005-01-11 00:00:00,Parking,Alquiler,Girona,260,2402920,2005-10-09 00:00:00,Joaquín
1046,1046,2005-01-11 00:00:00,Suelo,Alquiler,Girona,240,1823280,2005-09-04 00:00:00,Luisa
1047,1047,2005-01-11 00:00:00,Oficina,Alquiler,Barcelona,157,949693,2005-11-27 00:00:00,Jesús
1048,1048,2005-01-12 00:00:00,Casa,Alquiler,Barcelona,279,2362572,2005-09-25 00:00:00,Luisa
1049,1049,2005-01-12 00:00:00,Oficina,Venta,Barcelona,73,672987,2005-04-21 00:00:00,Joaquín
1050,1050,2005-01-12 00:00:00,Casa,Venta,Tarragona,120,703680,2005-09-16 00:00:00,Carmen
1051,1051,2005-01-12 00:00:00,Parking,Venta,Lleida,246,1940448,2005-10-08 00:00:00,Pedro
1052,1052,2005-01-12 00:00:00,Casa,Venta,Girona,75,624600,2005-12-12 00:00:00,María
1053,1053,2005-01-13 00:00:00,Industrial,Venta,Girona,42,224280,2005-07-10 00:00:00,María
1054,1054,2005-01-14 00:00:00,Oficina,Alquiler,Barcelona,251,2138771,2005-05-15 00:00:00,Carmen
1055,1055,2005-01-14 00:00:00,Local,Alquiler,Lleida,149,1250408,2005-10-30 00:00:00,Pedro
1056,1056,2005-01-15 00:00:00,Suelo,Alquiler,Girona,45,300105,2005-06-02 00:00:00,Carmen
1057,1057,2005-01-15 00:00:00,Casa,Venta,Barcelona,90,599850,2005-12-30 00:00:00,María
1058,1058,2005-01-15 00:00:00,Parking,Venta,Barcelona,221,1919827,2006-01-06 00:00:00,Joaquín
1059,1059,2005-01-16 00:00:00,Oficina,Venta,Girona,133,573230,2005-09-20 00:00:00,Jesús
